prefix,tag,count,total,avg_val,first_val,first_step,last_val,last_step,min_val,min_step,max_val,max_step
,acc,10,9.178100109100342,0.9178100109100342,0.883400022983551,1,0.9261000156402588,10,0.883400022983551,1,0.9261000156402588,10
,loss,10,2.9312999844551086,0.29312999844551085,0.4072999954223633,1,0.26600000262260437,10,0.26600000262260437,10,0.4072999954223633,1
,val_acc,10,9.203999996185303,0.9203999996185303,0.9164000153541565,1,0.9254999756813049,10,0.9164000153541565,1,0.9254999756813049,10
,val_loss,10,2.8181999921798706,0.28181999921798706,0.30379998683929443,1,0.2703999876976013,10,0.2703999876976013,10,0.30379998683929443,1
